source_id,original_ext_source_id,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,col2mass,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,ra,dec,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,bp_rp,bp_g,phot_g_mean_mag,g_rp,phot_bp_mean_mag,visibility_periods_used
2207292751228048640,22564046+6246268,5,456466510,1,0,1,22564046+6246268,0.8031194654482504,0.581607270150111,-0.8265339032900949,-1.928628057018994,1.0324327167561402,0.961654696480614,344.16861829314803,62.77410551979338,197.8503,147,2.1538765,2.8408241,1.2099171,19.671352,1.630907,20.88127,11
2207268115295635584,22564080+6242036,5,456336758,1,0,1,22564080+6242036,0.9288564479329301,0.3077027227994421,-0.27035846371392314,-2.4425674176629437,0.7129719161474548,0.5137286514551915,344.1699372508963,62.70101027460845,368.08286,267,2.1197684,2.8561935,1.2409134,19.425434,1.6152802,20.666348,17
2207220801944076032,22564128+6238146,5,456223824,1,0,1,22564128+6238146,1.2128233909662662,0.3185425151867239,1.087469522301463,-1.9328215340738084,0.6907495738252456,0.48705104059374216,344.17192368379295,62.63734164841666,360.34818,252,2.5500526,1.9915543,0.3124218,19.470589,1.6791325,19.78301,17
2207268394465276416,22564135+6243134,5,456371124,1,0,1,22564135+6243134,1.1746100833528053,0.16994431704743565,-0.006412029296782473,-1.712620962771343,0.33129979571914153,0.26284177950110454,344.17226321133325,62.72040842214881,364.46927,255,1.8589449,2.9348621,1.4537315,18.587069,1.4811306,20.0408,16
2207202763069916800,22564145+6225421,5,455854118,1,0,1,22564145+6225421,0.7041809871994062,0.37194130262307507,2.0918203530086354,-2.720664733660751,0.7309713100758647,0.5042177790860976,344.1727418611669,62.42836566133693,316.36267,250,2.0064116,3.5195389,1.907753,19.500727,1.6117859,21.40848,17
2207268188306853376,22564147+6243037,5,456366283,1,0,1,22564147+6243037,1.051045066293459,0.07023247510217842,-0.22545291805243173,-2.3424865230782994,0.1580356667603589,0.1135496411676201,344.1728057703807,62.71765552913151,271.10153,237,1.6015737,2.6781464,1.3883514,17.027912,1.2897949,18.416264,16
2207220905014664064,22564190+6239454,5,456268637,1,0,1,22564190+6239454,1.1134966440095295,0.20713697520770208,-0.7449173396134317,-1.8963565532750726,0.34668076344182364,0.27791772541687026,344.17452204999955,62.66262856093004,401.40213,282,1.8705182,3.077364,1.5756016,18.760702,1.5017624,20.336304,18
2207268184019112320,22564202+6242337,5,456351467,1,0,1,22564202+6242337,1.770107460975585,1.0129684216549728,0.5869511176527809,-2.1016812637423934,2.846430634164727,1.834176651521502,344.17509086105633,62.709230736743116,191.91225,160,2.641891,2.3568993,0.5703106,20.856262,1.7865887,21.426573,14
2207221111173487616,22564215+6240361,5,456293739,1,0,1,22564215+6240361,-0.07450930600575034,0.6431227453415511,-4.567647258362307,-3.5404598179428124,1.342540848179225,0.9908450516758359,344.17560838868155,62.67674465273782,350.3967,218,3.1471243,1.9170723,0.026023865,20.288145,1.8910484,20.314169,16
2207220801935825536,22564269+6238172,5,456225067,1,0,1,22564269+6238172,1.6720740746183491,0.27539666651192923,-0.6697863429540958,-2.8465687753367934,0.5985438588538685,0.42744431774089997,344.17790777413114,62.63812026052757,337.89615,271,2.5162055,2.3989658,0.6585064,19.358116,1.7404594,20.016623,17
