Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label            Explanations
--------------------------------------------------------------------------------
   1- 16 A16    --        2MASS            2MASS identification number
  18- 22 I5     --        Cnts             Combined number of X-ray photon
  24- 31 A8     mW/m2     AttXflux         Attenuated X-ray flux
  33- 41 A9     mW/m2     AttXfluxUnc      Attenuated X-ray flux uncertainty
  43- 59 A17    mW/m2     UnattXflux       Corrected X-ray flux
  61- 69 A9     mW/m2     UnattXfluxUnc    Corrected X-ray flux uncertainty
  71- 74 F4.2   [mW/m2]   XSurfaceFlux     X-ray surface flux
  76-103 F28.5  [mW/m2]   XSurfaceFluxUnc  X-ray surface flux uncertainty
--------------------------------------------------------------------------------
Note (1):   ***ADD LENGTHY NOTES HERE***
Note (2):   ***OR REMOVE THIS SECTION***
--------------------------------------------------------------------------------
22550404+6234347 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.01 -199998000000000000000.00000 
22550505+6244283 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.32 -199998000000000000000.00000 
22550561+6244055   120 2.67e-14 2.71e-15  4.97e-14          5.067e-15 7.07                      0.10000 
22550590+6234504    46 5.40e-15 8.70e-16  1.005e-14         1.666e-15 6.08                      0.17000 
22550636+6228094 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.72 -199998000000000000000.00000 
22550645+6241517 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.19 -199998000000000000000.00000 
22550647+6231416    36 1.28e-14 5.48e-15  2.213e-14         1.168e-14 6.88                      0.53000 
22550659+6235348    18 3.79e-15 1.01e-15  7.229e-15         1.946e-15 5.96                      0.27000 
22550760+6244452 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.53 -199998000000000000000.00000 
22550794+6234001 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.41 -199998000000000000000.00000 
22550804+6244252 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.73 -199998000000000000000.00000 
22550813+6233274 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.22 -199998000000000000000.00000 
22550959+6244210 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.23 -199998000000000000000.00000 
22550962+6233244 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.28 -199998000000000000000.00000 
22550963+6233534 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.50 -199998000000000000000.00000 
22550975+6239074   486 4.97e-14 2.16e-15  4.97e-14          2.156e-15 6.96                      0.04000 
22551017+6244330 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.47 -199998000000000000000.00000 
22551117+6234334 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.06 -199998000000000000000.00000 
22551123+6232513    50 7.90e-15 1.34e-15  1.92e-14          3.78e-15  6.74                      0.20000 
22551206+6228169 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.36 -199998000000000000000.00000 
22551238+6236575    16 5.91e-15 1.72e-15  1.267e-14         4.073e-15 6.83                      0.32000 
22551310+6232307 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.58 -199998000000000000000.00000 
22551415+6232392 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.27 -199998000000000000000.00000 
22551447+6235052 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.33 -199998000000000000000.00000 
22551491+6232172 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.17 -199998000000000000000.00000 
22551494+6245334 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.25 -199998000000000000000.00000 
22551550+6236552 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.65 -199998000000000000000.00000 
22551567+6235261 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.42 -199998000000000000000.00000 
22551593+6246275 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.62 -199998000000000000000.00000 
22551643+6240321 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.09 -199998000000000000000.00000 
22551736+6232113 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.56 -199998000000000000000.00000 
22551747+6233343 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.00 -199998000000000000000.00000 
22551760+6243231 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.44 -199998000000000000000.00000 
22551793+6236451    20 3.51e-15 8.61e-16  5.618e-15         1.388e-15 6.54                      0.25000 
22551833+6237425 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.47 -199998000000000000000.00000 
22551847+6227234 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.22 -199998000000000000000.00000 
22551987+6244149 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.96 -199998000000000000000.00000 
22552093+6234468    60 8.11e-15 1.46e-15  1.758e-14         3.508e-15 6.88                      0.20000 
22552142+6240075    18 5.64e-15 1.49e-15  9.431e-15         2.534e-15 6.83                      0.27000 
22552183+6239330 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.46 -199998000000000000000.00000 
22552289+6238005 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.68 -199998000000000000000.00000 
22552297+6239134    14 2.09e-15 7.26e-16  3.741e-15         1.455e-15 5.76                      0.39000 
22552302+6240373 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.01 -199998000000000000000.00000 
22552357+6242296 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.66 -199998000000000000000.00000 
22552359+6244177    23 4.20e-15 1.07e-15  4.997e-15         1.3e-15   6.23                      0.26000 
22552381+6229595 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.70 -199998000000000000000.00000 
22552412+6243076 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.55 -199998000000000000000.00000 
22552454+6254456 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.06 -199998000000000000000.00000 
